epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.455,1.29398,3.52638,2.01918,1.56158,0.12422,0.17472,0.06576,0.02362,0.14539,0.10037,0.04715,0.01238,1.43752,3.37108,33.9193,1.62099,0.000665489,0.000665489,0.000665489
2,606.901,1.36137,3.44108,1.77436,1.60066,0.22265,0.22305,0.0967,0.04558,0.1838,0.18216,0.06577,0.0235,1.55634,2.97361,27.2406,2.00323,0.00131897,0.00131897,0.00131897
3,905.665,1.34904,3.38926,1.71402,1.5975,0.29565,0.22119,0.16388,0.07389,0.21444,0.16171,0.09046,0.02921,1.32563,3.50433,33.0876,1.57338,0.00195925,0.00195925,0.00195925
4,1198.96,1.30717,3.33568,1.66881,1.5663,0.29329,0.21004,0.15657,0.07985,0.22479,0.18401,0.1109,0.04373,1.45501,3.10373,22.8125,1.71385,0.0019406,0.0019406,0.0019406
5,1490.33,1.26372,3.24653,1.58265,1.53777,0.18763,0.16543,0.10857,0.06057,0.18485,0.12825,0.08186,0.03484,1.44752,3.14983,25.6349,1.64642,0.0019208,0.0019208,0.0019208
6,1780.71,1.23408,3.19036,1.54884,1.51317,0.40739,0.27472,0.22482,0.10179,0.419,0.19888,0.16307,0.06432,1.32076,2.95589,9.83714,1.54443,0.001901,0.001901,0.001901
7,2070.5,1.21411,3.1746,1.51462,1.49965,0.23178,0.25279,0.14456,0.0758,0.19298,0.19888,0.10089,0.04208,1.34536,2.91587,23.4896,1.63792,0.0018812,0.0018812,0.0018812
8,2359.99,1.19785,3.11181,1.48982,1.494,0.5863,0.25651,0.26981,0.14539,0.48002,0.20818,0.1958,0.08202,1.30532,2.83166,8.32634,1.61354,0.0018614,0.0018614,0.0018614
9,2650.44,1.17337,3.07161,1.41867,1.47085,0.27148,0.30669,0.21354,0.10797,0.22706,0.25651,0.14454,0.06136,1.28762,2.78473,19.4185,1.58903,0.0018416,0.0018416,0.0018416
10,2940.23,1.17223,3.05321,1.4233,1.46583,0.57057,0.28067,0.2843,0.15072,0.48385,0.23234,0.20453,0.09714,1.33308,2.77516,6.99707,1.57569,0.0018218,0.0018218,0.0018218
11,3230.3,1.15911,3.01688,1.39661,1.46174,0.42433,0.25465,0.23999,0.1203,0.39533,0.2119,0.17967,0.07887,1.48807,3.02339,10.611,1.65451,0.001802,0.001802,0.001802
12,3519.44,1.14204,3.01606,1.38565,1.44587,0.50574,0.29289,0.26995,0.12482,0.40493,0.24349,0.19766,0.08345,1.33325,2.94394,6.42716,1.59973,0.0017822,0.0017822,0.0017822
13,3812.86,1.14943,3.00766,1.36813,1.45191,0.53144,0.26394,0.26554,0.14176,0.42414,0.22862,0.19152,0.07852,1.32472,2.87452,9.93349,1.59088,0.0017624,0.0017624,0.0017624
14,4163.01,1.11416,2.95447,1.33164,1.42389,0.50313,0.28996,0.28266,0.15475,0.42588,0.23792,0.20592,0.0921,1.27428,2.8381,5.44053,1.49822,0.0017426,0.0017426,0.0017426
15,4514.09,1.11214,2.93633,1.31843,1.42923,0.55009,0.31041,0.31954,0.17322,0.46445,0.26208,0.24357,0.11032,1.26053,2.77928,10.9681,1.49046,0.0017228,0.0017228,0.0017228
16,4863.53,1.12382,2.919,1.31933,1.43161,0.58083,0.28625,0.29002,0.16177,0.47579,0.23281,0.21341,0.09944,1.27533,2.73954,6.56586,1.49632,0.001703,0.001703,0.001703
17,5212.71,1.10496,2.87105,1.27589,1.4161,0.30342,0.31784,0.21655,0.10462,0.29132,0.24349,0.15942,0.06833,1.31951,2.71256,14.4638,1.61694,0.0016832,0.0016832,0.0016832
18,5561.27,1.08523,2.87421,1.27705,1.41149,0.46395,0.30565,0.27855,0.1482,0.40434,0.25866,0.20799,0.09938,1.28338,2.73109,6.33235,1.50976,0.0016634,0.0016634,0.0016634
19,5857.49,1.09437,2.85549,1.25331,1.40644,0.59122,0.28625,0.31829,0.17824,0.49147,0.24535,0.2422,0.11938,1.23093,2.70003,6.40531,1.50221,0.0016436,0.0016436,0.0016436
20,6145.98,1.0883,2.8505,1.25793,1.40239,0.38914,0.30669,0.25365,0.14021,0.34324,0.27695,0.20357,0.10105,1.27034,2.64669,8.47472,1.51531,0.0016238,0.0016238,0.0016238
